"baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","condition_A_vs_B","SE_Intercept","SE_condition_A_vs_B","WaldStatistic_Intercept","WaldStatistic_condition_A_vs_B","WaldPvalue_Intercept","WaldPvalue_condition_A_vs_B","betaConv","betaIter","deviance","maxCooks"
"gene-GALLO_RS00120",24.8480309905553,61.7312093590901,FALSE,0.0949385340187633,5,0.181123958560758,0.133616989847594,7,FALSE,0.133616989847594,4.73415544010806,-0.213221308861301,0.341852570348598,0.492294369938376,13.8485296023385,-0.433117504244445,1.29842830482421e-43,0.664929406790524,TRUE,3,42.2072246001294,0.72558671151268
"gene-GALLO_RS00125",125.081728373989,1736.80562486312,FALSE,0.143279475342673,8,0.0787087186204298,0.116846469560096,8,FALSE,0.116846469560096,7.13435116570764,-0.358846931485914,0.292650951818246,0.416666687821907,24.3783631024666,-0.861232591839196,2.90139150777144e-131,0.389109953062101,TRUE,3,60.9800652074671,1.84991347076607
"gene-GALLO_RS00130",63.0293989459485,476.385798303072,FALSE,0.134159931247534,8,0.103703983295986,0.120537820149888,6,FALSE,0.120537820149888,6.14612629662633,-0.362242634722807,0.304480739601354,0.43593179689072,20.1855996036834,-0.830961717650559,1.31028217970734e-90,0.405995256151381,TRUE,3,52.862084519392,1.2724088520689
"gene-GALLO_RS00135",468.670656386458,16484.231746287,FALSE,0.099177210359068,5,0.060095811358502,0.0843802227467937,9,FALSE,0.0843802227467937,8.86333536639767,0.0179793120627654,0.24479193566619,0.346511212578248,36.2076280914912,0.0518866674731497,4.61786825322108e-287,0.958618997781038,TRUE,3,74.621176073125,0.245593470047355
"gene-GALLO_RS00140",26.4580875241623,82.0622957130801,FALSE,0.0963064197355522,3,0.173346684797741,0.127691812333444,5,FALSE,0.127691812333444,4.79896080390835,-0.160017561745059,0.334202125355864,0.48010448388924,14.3594562685631,-0.333297369874127,9.29535482697856e-47,0.738909824538849,TRUE,3,42.4935878575346,0.611543016863717
"gene-GALLO_RS00145",42.3015240865456,284.124039566668,FALSE,0.188156870729388,8,0.128392345892066,0.1627797916522,8,FALSE,0.1627797916522,5.597729671941,-0.415783663947884,0.355267335158519,0.50983946012513,15.7563871427789,-0.815518798497547,6.20820587909353e-56,0.414775408635618,TRUE,3,49.9407206445802,0.341174869901029
"gene-GALLO_RS00150",113.205148032677,1000.54628403311,FALSE,0.0840956296794398,8,0.0813723127564374,0.0831646810719178,5,FALSE,0.0831646810719178,6.91601945052763,-0.190330132330684,0.251046414283251,0.357575283285487,27.5487681043889,-0.532279889655364,4.57833776517292e-167,0.594532158499745,TRUE,3,57.2977076920152,0.312174469154755
"gene-GALLO_RS00155",358.413931156759,8649.9240509592,FALSE,0.0367689707445463,5,0.0621802500888238,0.0449590908195631,8,FALSE,0.0449590908195631,8.18552250008902,0.547825231226597,0.182760027278704,0.257624604465074,44.7883633088231,2.12644763633539,0,0.0334660049145345,TRUE,3,66.3984061077104,0.736598170888173
"gene-GALLO_RS00160",977.258840633179,242828.451939017,FALSE,0.245165235164588,6,0.0565694599780839,0.162953206904056,10,FALSE,0.162953206904056,10.3429968332914,-0.986670462747324,0.336972386832383,0.477242707427752,30.6939002644041,-2.06743958030347,6.86505184434327e-207,0.0386927519131868,TRUE,3,87.6061455054009,0.494590707651433
"gene-GALLO_RS00165",167.562168791205,5803.67679519399,FALSE,0.228641766720628,5,0.0722721285064037,0.16197439821927,8,FALSE,0.16197439821927,7.59945035440236,-0.459377474381392,0.340135852360945,0.483147478796889,22.3423973146412,-0.950801762487332,1.43151103796386e-110,0.341705017728389,TRUE,3,66.7349111629614,0.442312123451767
"gene-GALLO_RS00170",105.08434381979,836.268326968895,FALSE,0.087944490159039,8,0.0835401742742977,0.0860995846430541,6,FALSE,0.0860995846430541,6.69219075067809,0.0454088459540006,0.25681554326106,0.364373698918323,26.0583556030146,0.124621634571323,1.08180763560481e-149,0.900823100008488,TRUE,3,56.6991009689517,1.02922773333017
"gene-GALLO_RS00175",55.642832740401,152.348856512015,FALSE,0.0375566455319699,3,0.110392454895563,0.0648829530000921,4,FALSE,0.0648829530000921,5.76335027024151,0.0799912721823452,0.238440049064116,0.339102414605272,24.1710664498805,0.235891190204169,4.48437128385779e-129,0.813517104570235,TRUE,3,46.8333386065624,1.01292457075706
"gene-GALLO_RS00180",77.452030875239,358.18302178253,FALSE,0.0366139765701843,4,0.0943217714584747,0.0577952209751956,6,FALSE,0.0577952209751956,6.08934163149311,0.342300128658167,0.222580499651755,0.31365052830649,27.3579295626543,1.09134242657383,8.69072137669993e-165,0.275122235704687,TRUE,2,49.9502969787424,0.487169316504884
"gene-GALLO_RS00185",154.624924230147,1806.63834604357,FALSE,0.0958007396889616,8,0.0738578357316156,0.0872899722367526,9,FALSE,0.0872899722367526,7.36643881488434,-0.194720740668828,0.253886453293887,0.360917984907116,29.0146981822512,-0.539515205148175,4.29352752941692e-185,0.5895314081682,TRUE,3,61.4882363253643,1.40437307049132
