"A1","A2","A3","B1","B2","B3"
"gene-GALLO_RS00775",7.26269626356268,7.81043668641406,6.65575997215941,7.35335200546823,8.25516907255984,12.2238333180445
"gene-GALLO_RS00780",7.21942060832072,7.81642024533618,6.76566902232849,6.95166752908262,7.99014637932181,11.586935297776
"gene-GALLO_RS00785",5.9877231557428,6.33452481537798,5.84618323437892,5.98728519970759,6.45269537586311,9.57359993606696
"gene-GALLO_RS00790",11.9114838420825,12.0355420480578,12.1126578021122,11.9416021001752,12.6564005743293,12.6583745695507
"gene-GALLO_RS00795",10.2254009317773,10.5876359395834,10.7155661076001,10.1728153216607,11.1808001808562,11.1978033709881
"gene-GALLO_RS00800",9.12371133080714,9.38010339390307,8.65507765610396,9.04127675919416,9.35201458976958,8.27070229609628
"gene-GALLO_RS00805",11.7447988561619,12.1927507028634,11.263070621969,11.5719155315131,12.0378027652137,10.888149492105
"gene-GALLO_RS00810",9.11211091515646,8.70685610121978,9.02993166191825,9.34531670585963,8.52512579725349,8.81545172767425
"gene-GALLO_RS00815",10.8880799195506,11.0355405333347,11.0620290021385,10.8197612442276,10.7555861833186,10.6758978299307
"gene-GALLO_RS00820",9.9487662823432,10.2442078808178,10.0158732996502,9.99431816468254,10.1702977966469,9.89969184432702
"gene-GALLO_RS00825",10.2531015038815,10.7623968047157,10.277797196287,10.4625438062919,10.2709518365702,10.2706551099086
"gene-GALLO_RS00830",12.0106036251613,12.1060207906995,12.3145848430151,12.1716919497426,11.8785310747945,11.8106273941048
"gene-GALLO_RS11660",10.4108744236339,10.7162905681568,10.586890150469,9.96020494908252,10.3453145314683,10.2600160171046
"gene-GALLO_RS00835",9.20676620802214,9.70075817116918,9.56951682584856,8.37755377916612,9.20206817476675,9.06316167161009
"gene-GALLO_RS00840",10.0149899411441,10.3003836938833,10.586890150469,10.2709455666358,10.0290863284547,10.7198119834479
"gene-GALLO_RS00845",8.02671618537421,8.03208857843205,7.96817360156523,8.07411782785506,8.16314921829421,7.9894022577064
"gene-GALLO_RS00850",9.23698354168817,9.22116672951514,9.35063728416216,9.53220066164789,9.24104403404055,9.13818937363436
"gene-GALLO_RS00855",14.3423570077908,14.5373412661601,14.3019373160467,14.4375287626361,14.582744355773,14.2411858605526
"gene-GALLO_RS00860",7.51188294677104,8.84715198655258,7.85193068497999,7.58518122620673,9.14612229012361,8.9427314894822
"gene-GALLO_RS00865",11.8402361574201,11.963116289381,11.1068109401639,11.4960476103082,11.6184087577351,10.9290135163641
"gene-GALLO_RS00870",8.85798535018416,8.7938727496978,9.34423426654454,9.38795518574243,8.38491349890547,8.79871915359772
"gene-GALLO_RS00875",9.73567128189023,10.6329305371613,9.44341573000874,9.54690705603899,10.391239250762,9.42905235778343
