"A1","A2","A3","B1","B2","B3"
"gene-GALLO_RS00085",3328.61943104357,4754.4432436474,4835.39589092898,1625.57636880712,1248.6298458348,6471.00278292767
"gene-GALLO_RS00090",162.415210844485,160.178905774294,319.663766584711,124.544491947247,173.644580711076,264.440017571563
"gene-GALLO_RS00095",10551.6343572813,13119.8560394321,13559.7133277485,7024.30934582476,3751.25998845423,17053.788584174
"gene-GALLO_RS00100",0,0.925889628753144,0.962842670435877,0,0,0
"gene-GALLO_RS00105",29.4489118564177,43.5168125513978,19.2568534087175,24.9088983894495,30.4325553823535,45.3696108578662
"gene-GALLO_RS00110",42.8347808820621,62.9604947552138,83.7673123279213,32.4898674644993,21.4818037993084,76.4802011604031
"gene-GALLO_RS00115",114.226082352165,192.585042780654,155.980512610612,99.635593557798,142.316950170418,178.885894239587
"gene-GALLO_RS00120",21.417390441031,30.5543577488538,27.9224374426404,10.8299558214998,25.957179590831,32.4068648984759
"gene-GALLO_RS00125",99.0554307897685,169.437802061825,153.091984599304,55.2327746896489,129.785897954155,143.886480149233
"gene-GALLO_RS00130",44.6195634188146,85.1818458452893,82.8044696574855,30.3238763001994,62.6552610813161,72.591377372586
"gene-GALLO_RS00135",322.153247883842,612.013044605828,463.127324479657,307.570745330594,554.9465981488,552.212977870029
"gene-GALLO_RS00140",18.7402166359022,40.7391436651383,24.0710667608969,17.3279293143997,24.1670292742219,33.7031394944149
"gene-GALLO_RS00145",31.2336943931703,59.2569362402012,54.882032214845,16.2449337322497,54.5995846565755,37.591963282232
"gene-GALLO_RS00150",99.0554307897685,159.253016145541,103.987008407075,69.3117172575986,138.7366495372,108.887066058879
"gene-GALLO_RS00155",273.964119391522,375.911189273777,223.379499541124,380.131449334642,427.845925669559,469.251403729931
"gene-GALLO_RS00160",1014.64887214385,1735.11716428339,1146.74562048913,259.918939715995,673.991594203301,1033.13085296341
"gene-GALLO_RS00165",116.903256157294,291.65523305724,173.311680678458,67.1457260932986,159.323378178204,197.033738582733
"gene-GALLO_RS00170",86.5619530325004,137.957554684218,85.6929976687931,67.1457260932986,123.520371846023,129.627459593904
"gene-GALLO_RS00175",52.6510848342013,59.2569362402012,51.0306615331015,45.4858144502991,78.7666139307974,46.6658854538053
"gene-GALLO_RS00180",53.5434761025776,80.5523977015235,70.287514941819,81.2246686612484,68.9207871894477,110.183340654818
"gene-GALLO_RS00185",149.921733087217,207.399276840704,137.68650187233,83.3906598255483,169.169204919554,180.182168835526
"gene-GALLO_RS00190",4475.34221090711,3963.73350069221,4222.06510986132,4861.56716827125,5301.53016263765,6096.37942470128
"gene-GALLO_RS00195",1445.67385476959,1162.91737371395,1031.20450003682,1747.95486959006,2037.19106030108,2011.81817289738
"gene-GALLO_RS00200",73198.3937885654,61320.744222692,76205.145994318,62884.1384775385,58304.3007367979,73737.2841153961
